,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateMothball,DateOut,lat,lon,EIC,projectID
334,Mannheim,Hard Coal,Steam Turbine,PP,DE,2146,,,0.0,0.0,0.0,1966.0,1966.0,,2030.0,49.447,8.4925,,
335,Marl,Hard Coal,Steam Turbine,PP,DE,136,,,0.0,0.0,0.0,1966.0,1966.0,,2024.0,51.696393,7.093964,,
336,Offenbach,Hard Coal,Steam Turbine,PP,DE,60,,,0.0,0.0,0.0,1990.0,1990.0,,2030.0,50.1113,8.7454,,
337,Jaenschwalde,Lignite,Steam Turbine,PP,DE,3210,,,0.0,0.0,0.0,1981.0,1981.0,,2028.0,51.8335,14.4577,,
338,Heyden,Hard Coal,Steam Turbine,PP,DE,923,,,0.0,0.0,0.0,1987.0,1987.0,,2024.0,52.3816,8.9986,,
339,Quierschied-Weiher,Hard Coal,Steam Turbine,PP,DE,724,,,0.0,0.0,0.0,1976.0,1976.0,,2030.0,49.3356,7.0309,,
340,Rostock,Hard Coal,Steam Turbine,PP,DE,553,,,0.0,0.0,0.0,1994.0,1994.0,,2030.0,54.1428,12.1329,,
341,Schkopau,Lignite,Steam Turbine,PP,DE,980,,,0.0,0.0,0.0,1996.0,1996.0,,2034.0,51.3985,11.9504,,
342,Schwarze Pumpe,Lignite,Steam Turbine,PP,DE,1600,,,0.0,0.0,0.0,1997.0,1997.0,,2034.0,51.5354,14.3538,,
343,Schweinfurt,Hard Coal,Steam Turbine,PP,DE,29,,,0.0,0.0,0.0,1990.0,1990.0,,2030.0,50.0301,10.2236,,
344,Stuttgart-Muenster,Hard Coal,Steam Turbine,PP,DE,96,,,0.0,0.0,0.0,1982.0,1982.0,,2030.0,48.8154,9.2197,,
345,Krefeld-Uerdingen,Hard Coal,Steam Turbine,PP,DE,148,,,0.0,0.0,0.0,1957.0,1957.0,,2030.0,51.3682,6.6624,,
